parent_symbol,child_symbol,beta,PIP,LFSR
STAT5B,ATMIN,-0.00464338394819908,0.0,0.0
TBX21,ATMIN,-0.00346828176374512,0.0,0.003
TCF3,ATMIN,-0.00175884980226062,0.0,0.0
TET2,ATMIN,0.0040556406569036,0.0,0.046
TNFAIP3,ATMIN,0.00608543800712885,0.0,0.0
TP53,ATMIN,-0.00497699540778925,0.0,0.0
TTF1,ATMIN,-0.00972080564836519,0.0,0.0
YBX1,ATMIN,0.0106494801684207,0.0,0.0
YBX3,ATMIN,-0.0116741634285168,0.0,0.0
YY1,ATMIN,0.0140315762079597,0.0,0.0
ZBTB14,ATMIN,-0.00130415546016692,0.0,0.0
ZBTB24,ATMIN,-0.00376815393135312,0.0,0.0
ZFP3,ATMIN,-0.00260737793834004,0.0,0.046
ZKSCAN1,ATMIN,0.00440095221060328,0.0,0.0
ZNF217,ATMIN,0.00366687660288513,0.0,0.046
ZNF319,ATMIN,0.00430251360593057,0.0,0.003
ZNF329,ATMIN,-0.00597426596519727,0.0,0.0
ZNF331,ATMIN,-0.00221956779118519,0.0,0.0
ZNF341,ATMIN,0.00290141337522024,0.0,0.0005
ZNF575,ATMIN,-0.000807705398933675,0.0,0.3235
ZNF655,ATMIN,0.00170066015420917,0.0,0.3695
ZNF708,ATMIN,-0.0127086132828615,0.0,0.0
ZNF791,ATMIN,-0.0115943942315538,0.0,0.0
AIRE,ATXN7L3,-0.00191957435350185,0.0,0.003
AKAP8,ATXN7L3,0.00575436703766358,0.0,0.0
ARID5A,ATXN7L3,8.25563328104763e-05,0.0,0.312
ATMIN,ATXN7L3,0.00605281184610202,0.0,0.0
BACH2,ATXN7L3,0.00612853450814881,0.0,0.0
BCL11B,ATXN7L3,0.00808053970264536,0.0,0.0
BPTF,ATXN7L3,-0.000395220756798468,0.0,0.373
CBFB,ATXN7L3,-0.0096254258214354,0.0,0.0
CLOCK,ATXN7L3,0.0021115823241526,0.0,0.049
DR1,ATXN7L3,0.00752743876396142,0.0,0.0
EGR3,ATXN7L3,-0.00184999509796998,0.0,0.3125
ELK4,ATXN7L3,0.00466922273766683,0.0,0.0
EPAS1,ATXN7L3,0.00208466091938811,0.0,0.312
ETS1,ATXN7L3,0.00842673362804986,0.0,0.0
FOXK1,ATXN7L3,0.0102932755065938,0.0,0.0
FOXP1,ATXN7L3,0.00307229115221509,0.0,0.0
FOXP3,ATXN7L3,-0.0087181685476057,0.0,0.0
GATA3,ATXN7L3,-0.00488105048774382,0.0,0.0
GFI1,ATXN7L3,-0.00164252407684253,0.0,0.3235
HIVEP2,ATXN7L3,-0.000185286771449886,0.0,0.3645
HIVEP3,ATXN7L3,0.00271432895140574,0.0,0.0
IKZF1,ATXN7L3,0.00484855157765181,0.0,0.0
IL2RA,ATXN7L3,0.000137007768042796,0.0,0.327
IRF1,ATXN7L3,0.00156839397524719,0.0,0.3125
IRF2,ATXN7L3,0.00547924028310098,0.0,0.0
IRF3,ATXN7L3,-0.000507272150976566,0.0,0.324
IRF4,ATXN7L3,0.00687613834590847,0.0,0.0
IRF7,ATXN7L3,-0.00560861528435928,0.0,0.0
IRF8,ATXN7L3,0.00311236132880682,0.0,0.0005
IRF9,ATXN7L3,-0.00129217065518265,0.0,0.3695
JAK3,ATXN7L3,-0.00591484591305778,0.0,0.0
KLF2,ATXN7L3,0.00430083123903535,0.0,0.0
KLF9,ATXN7L3,0.0017154592426159,0.0,0.3155
KMT2A,ATXN7L3,-0.00568097426137358,0.0,0.046
LCOR,ATXN7L3,-0.00698189081537387,0.0,0.003
MBD2,ATXN7L3,-0.00527732190053353,0.0,0.0
MED12,ATXN7L3,0.00640201490537292,0.0,0.0
MYB,ATXN7L3,-0.001003958824284,0.0,0.37
MYSM1,ATXN7L3,0.000903861903288136,0.0,0.3615
NFAT5,ATXN7L3,-0.0100812187647277,0.0,0.0
NFE2L2,ATXN7L3,-0.00234809338541447,0.0,0.327
NFE2L3,ATXN7L3,0.00174082782035849,0.0,0.315
NFKB1,ATXN7L3,-0.000193213039085278,0.0,0.3615
NFKB2,ATXN7L3,0.00277160884742612,0.0,0.312
POU2F1,ATXN7L3,-0.000788348059064605,0.0,0.3155
PTEN,ATXN7L3,0.0103148168640822,0.0,0.0
RBCK1,ATXN7L3,-0.000266357944280626,0.0,0.3155
REL,ATXN7L3,0.00111494181102921,0.0,0.046
RELA,ATXN7L3,0.00898184625258342,0.0,0.0
RELB,ATXN7L3,-0.00862889635620007,0.0,0.0
RFX5,ATXN7L3,0.00502871775852509,0.0,0.312
RORC,ATXN7L3,-0.00629869328678346,0.0,0.0
